family	m1_bl	m1_bl_n	m1_ch	m1_ch_n	m1c1_bl	m1c1_bl_n	m1c1_ch	m1c1_ch_n	m1c2_bl	m1c2_bl_n	m1c2_ch	m1c2_ch_n	m1c3_bl	m1c3_bl_n	m1c3_ch	m1c3_ch_n	position
F202	0	3983	1	7574	97	4565	137	5318	1	5195	1	5869	1	3011	0	1790	6405
F202	8	6837	23	9716	4	6837	14	7820	14	7397	19	9818	101	5497	316	14760	7861
F202	6	6127	126	10848	17	8411	2	1996	6	7205	5	2212	17	9701	45	21501	11646
F202	580	8416	541	6417	3	5300	9	8126	3	5396	2	9322	4	9042	4	15171	14040
F202	0	7677	12	9165	6	8926	9	12029	216	8404	369	14670	13	10351	22	18847	15161
F202	3	12602	2	9125	1	11717	6	15147	100	11112	204	19027	3	11977	4	20343	15915
F239	335	14617	147	7071	1	14841	0	5320	5	11371	5	9069	9	12372	13	13174	12130
F250	4	10349	2	8305	407	9246	281	6797	3	6882	1	6379	3	9570	2	7400	8485
F250	1	14326	9	12113	3	12851	7	9593	7	9929	3	9414	147	14059	122	10828	8864
F250	23	15531	23	9623	17	12699	20	10061	19	14867	9	8624	1115	15050	658	13690	11809
F250	368	23004	443	9998	95	17600	74	10538	75	21318	60	9006	31	20391	31	15214	16092
F268	7	19553	8	13880	8	14608	12	12946	5	22321	11	6210	1	18217	85	5021	2507
F268	21	18865	8	13523	4	14105	7	12422	9	21811	4	6107	4	17316	423	4802	2573
F268	16	16980	21	12831	17	13009	20	11555	26	20569	5	5829	14	15748	92	4645	2717
F268	9	11750	15	9485	11	9471	22	8547	21	14276	8	5310	8	10571	212	4965	2919
F268	23	10092	39	9386	22	8712	33	6769	12	12131	28	9269	6	10965	29	2552	6023
F268	19	12354	45	12444	3	11692	2	8779	2	14884	6	11873	564	13476	184	3425	6707
F268	39	11842	24	11047	6	11019	5	7537	7	13811	10	10104	787	12121	154	2915	9670
F268	2	12539	0	13110	1	11681	3	10240	3	16396	9	21404	1	10332	332	8328	11203
F268	10	12631	13	13230	13	11585	7	10276	17	16474	350	21811	9	10338	7	8773	11224
F268	4	16794	17	12495	1	12759	5	10683	4	20043	12	5813	37	15151	43	3134	16209
F284	47	2780	17	3720	4	6767	2	2416	203	5634	15	5424	5	5713	9	3726	195
F284	4	8027	3	11599	3	19487	4	6603	157	15316	5	14992	302	15249	6	11481	12488
F287	2	10097	105	10235	0	8374	1	6406	3	9472	5	8967	4	8520	7	10799	3965
F287	433	15132	494	15413	319	12236	305	9214	4661	14055	4272	14244	5	12811	8	15975	10433
F287	6	13763	2	11404	2	8812	5	5046	396	10106	369	8294	6	8814	3	10766	11143
F287	1285	9256	775	4411	502	8686	358	5822	35	7890	16	5465	359	7826	345	8686	14153
F302	13	12037	6	8765	4	8600	6	5059	99	10846	109	8260	13	11515	3	5571	4435
F302	14	14155	12	10214	328	11013	177	6978	14	12477	8	9431	12	13719	6	6985	6842
F302	92	9630	174	9697	0	5908	0	3781	71	8720	46	4938	4	9723	4	5632	14011
F302	938	11415	745	11242	0	7078	0	4494	4	10380	3	5880	5	11667	2	6756	14100
FM	3249	7569	4425	10897	1478	12300	943	8315	9088	10748	7447	8786	1946	8496	2190	10123	2352
FM	95	8679	101	6663	2	6534	2	5226	3	4794	0	4911	2	3918	4	4143	9565
FM	433	19340	697	23452	1	9744	1	5374	4	7851	0	4735	4	14028	2	19678	11149
FM	484	10263	1022	15852	1	10273	15	13531	3	8688	15	12801	0	10253	5	15724	16170
